,TITLE,REGION,SPECIFIC REGION,DISTANCE,DIST_TYPE,GAIN,HIGHEST,RATING,RATING_COUNT,lat,lon,MOST_RECENT_REPORT_DATE,REPORT_COUNT,COAST,RIVERS,LAKES,WATERFALLS,OLD GROWTH,FALL FOLIAGE,WILDFLOWERS/MEADOWS,MOUNTAIN VIEWS,SUMMITS,WILDLIFE,RIDGES,ESTABLISHED CAMPSITES,DOGS ALLOWED ON LEASH,NO DOGS,KID FRIENDLY,REQUIRED PASSES,URL
3694,White River,Mount Rainier Area,Chinook Pass - Hwy 410,5.9,one-way,600.0,2960.0,3.75,4,47.0018998,-121.5190566,10/30/21 0:00,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/white-river-1
3695,West Fork Humptulips River,Olympic Peninsula,Olympia,17.0,one-way,700.0,1000.0,2.14,7,47.45721667,-123.73175,8/21/21 0:00,20,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/west-fork-humptulips-river
3696,Willard Springs Trail,South Cascades,Mount Adams Area,2.0,roundtrip,,,3.0,2,45.96541033,-121.34202,5/15/21 0:00,12,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/willard-springs-trail
3697,Willapa National Wildlife Refuge - Bear River,Southwest Washington,Long Beach Area,3.5,roundtrip,,10.0,4.0,4,46.3768168,-123.9650981,11/22/20 0:00,4,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,,https://www.wta.org/go-hiking/hikes/willapa-national-wildlife-refuge-bear-river
3698,Wilson Creek,Snoqualmie Region,Cle Elum Area,5.6,roundtrip,220.0,5860.0,3.2,5,47.228861,-120.570309,8/5/18 0:00,2,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/wilson-creek-2
3699,Breazeale Interpretive Center,Puget Sound and Islands,Bellingham Area,1.5,roundtrip,,,3.75,4,48.4837169,-122.4776658,3/6/21 0:00,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,https://www.wta.org/go-hiking/hikes/upland-trail-breazeale-interpretive-center
3700,Union Peak,Central Cascades,Stevens Pass - East,,,1096.0,5696.0,0.0,0,47.8112231,-121.0826,3/31/21 0:00,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/union-peak
3701,Union Creek,Mount Rainier Area,Chinook Pass - Hwy 410,4.5,roundtrip,900.0,4035.0,3.0,8,46.93255379,-121.3594221,7/25/21 0:00,54,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/union-creek
3702,Tyler Peak Trail,Olympic Peninsula,Hood Canal,,,3000.0,6364.0,0.0,0,47.882321,-123.14357,10/9/21 0:00,23,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/tyler-peak-trail
3703,Wallula Gap Overlook,Central Washington,Tri-Cities,,,,,2.0,2,46.06351595,-118.9531867,12/18/19 0:00,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/wallula-gap
3704,Waptus River,Snoqualmie Region,Salmon La Sac/Teanaway,22.0,roundtrip,700.0,3100.0,3.4,10,47.409172,-121.103769,10/9/21 0:00,214,0,1,1,0,0,0,1,1,0,0,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/waptus-river
3705,Welch Peaks,Olympic Peninsula,Hood Canal,9.0,roundtrip,3300.0,6100.0,5.0,2,47.85924576,-123.0120277,7/21/21 0:00,19,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/welch-peaks
3706,Wagon Road Trail,Snoqualmie Region,Snoqualmie Pass,2.0,roundtrip,,,3.67,6,47.41304935,-121.4417006,7/18/21 0:00,33,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/wagon-road-1
3707,Twisp River Rearing Ponds,North Cascades,Methow/Sawtooth,1.0,roundtrip,,,4.0,1,48.36572439,-120.1322637,10/11/20 0:00,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,,https://www.wta.org/go-hiking/hikes/twisp-river-rearing-ponds
3708,Washington Park Arboretum,Puget Sound and Islands,Seattle-Tacoma Area,5.0,roundtrip,50.0,150.0,3.4,10,47.6415669,-122.290535,10/30/21 0:00,86,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/washington-park-arboretum
3709,Web Mountain,Snoqualmie Region,North Bend Area,,,,5335.0,3.67,3,47.43446637,-121.6369171,10/2/21 0:00,53,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/webb-mountain
3710,Wedge Mountain,Central Cascades,Leavenworth Area,2.0,roundtrip,2400.0,6900.0,3.67,3,47.48101659,-120.6820679,9/26/21 0:00,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/wedge-mtn
3711,Tronsen Ridge,Central Cascades,Blewett Pass,8.0,roundtrip,1000.0,5800.0,4.09,11,47.32268333,-120.5265,10/17/21 0:00,179,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/tronsen-ridge
3712,Townsend Mountain,Central Cascades,Stevens Pass - West,,,,,5.0,3,,,7/27/21 0:00,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/townsend-mountain
3713,Tower Mountain,Eastern Washington,Spokane Area/Coeur d'Alene,,,,,3.0,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/tower-mountain
3714,Traditional Knowledge Trail,Snoqualmie Region,North Bend Area,0.3,roundtrip,,,4.0,1,47.51565044,-121.8445925,8/10/21 0:00,15,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,https://www.wta.org/go-hiking/hikes/traditional-knowledge-trail
3715,Trail Creek,Snoqualmie Region,Salmon La Sac/Teanaway,9.4,roundtrip,1840.0,4750.0,1.75,4,47.54306667,-121.0976,7/22/21 0:00,14,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/trail-creek-1
3716,Trail of Two Forests,South Cascades,Mount St. Helens,0.5,roundtrip,50.0,1885.0,3.5,8,46.09931667,-122.2136333,6/13/21 0:00,20,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/trail-of-two-forests
3717,Trap Lake,Central Cascades,Stevens Pass - West,11.0,roundtrip,2700.0,5400.0,4.57,7,47.7185086,-121.1098757,9/13/21 0:00,80,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/trap-lake
3718,Eagle Creek,Southwest Washington,Columbia River Gorge - OR,12.0,roundtrip,1100.0,1200.0,4.75,8,45.6383,-121.92025,7/6/21 0:00,61,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/eagle-creek-1
3719,Grand Ridge Park - Water Tower Loop,Issaquah Alps,,3.3,roundtrip,283.0,1175.0,3.33,6,47.54491039,-121.9908777,7/10/21 0:00,46,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/grand-ridge-park-watertower-loop
3720,Tumac Plateau Loop,South Cascades,White Pass/Cowlitz River Valley,20.2,roundtrip,2500.0,6340.0,0.0,0,46.6548712,-121.361289,,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/tumac-plateau-loop
3721,Pretzel Tree Trail,Issaquah Alps,Squak Mountain,0.3,roundtrip,,350.0,3.5,8,47.48187219,-122.0542002,6/23/21 0:00,29,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/pretzel-tree-trail
3722,Monte Cristo,South Cascades,Mount Adams Area,4.0,roundtrip,1000.0,4177.0,4.5,4,45.89188333,-121.5740833,8/30/21 0:00,4,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,,https://www.wta.org/go-hiking/hikes/monte-cristo
3723,Chambers Creek Canyon,Puget Sound and Islands,Seattle-Tacoma Area,2.5,trails,500.0,,3.5,2,47.1915753,-122.5732221,7/2/21 0:00,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/chambers-creek-canyon
3724,Bullion Basin,Mount Rainier Area,Chinook Pass - Hwy 410,4.6,roundtrip,1900.0,6300.0,3.14,7,46.93783333,-121.4746,9/25/21 0:00,84,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/bullion-basin
3725,Issaquah - Preston Trail,Issaquah Alps,,5.4,one-way,320.0,430.0,0.0,0,47.53203825,-121.9803643,6/28/21 0:00,21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/issaquah-preston-trail
3726,Bogachiel River,Olympic Peninsula,Pacific Coast,12.0,roundtrip,400.0,500.0,3.33,12,47.88221667,-124.27505,9/21/21 0:00,72,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/bogachiel-river
3727,Lennox Creek (Dog Mountain),Snoqualmie Region,North Bend Area,9.0,roundtrip,3800.0,5408.0,3.5,2,47.63647401,-121.5233628,7/10/21 0:00,66,0,1,0,0,1,1,1,1,1,1,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/lennox-creek-dog-mountain
3728,High Ridge Trail,Olympic Peninsula,Northern Coast,0.8,roundtrip,213.0,5412.0,5.0,1,47.97004969,-123.4950399,8/16/21 0:00,16,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,National Park Pass,https://www.wta.org/go-hiking/hikes/high-ridge-trail
3729,Ruby Beach,Olympic Peninsula,Pacific Coast,6.0,roundtrip,60.0,60.0,3.7,23,47.70985,-124.4136,11/5/21 0:00,110,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/ruby-beach
3730,Carbon River to Ipsut Falls,Mount Rainier Area,NW - Carbon River/Mowich,10.8,roundtrip,500.0,,3.5,8,46.99490155,-121.9122775,10/16/21 0:00,302,0,1,0,0,1,1,0,1,0,0,0,1,0,0,1,National Park Pass,https://www.wta.org/go-hiking/hikes/carbon-river
3731,Napeequa River,Central Cascades,Stevens Pass - East,2.7,roundtrip,900.0,4900.0,2.8,5,48.05926961,-120.9242476,9/24/21 0:00,45,0,1,0,1,1,0,1,1,0,1,1,0,1,0,0,,https://www.wta.org/go-hiking/hikes/napeequa-river
3732,Nolte State Park,Mount Rainier Area,Chinook Pass - Hwy 410,1.45,roundtrip,,,4.25,4,47.270226,-121.93727,11/6/21 0:00,36,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/nolte-state-park
3733,Eagle and Chutla Peaks Trail Snowshoe,Mount Rainier Area,,7.0,roundtrip,2900.0,5600.0,1.67,3,46.74837424,-121.8077374,7/6/17 0:00,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,National Park Pass,https://www.wta.org/go-hiking/hikes/eagle-and-chutla-peaks-trail-snowshoe
3734,Lake Dorothy - Lake Bear - Lake Deer,Central Cascades,Stevens Pass - West,11.5,roundtrip,1600.0,3800.0,3.82,39,47.60891667,-121.3861,10/1/21 0:00,586,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/dorothy-lake
3735,Ames Lake Forest,Snoqualmie Region,North Bend Area,,,,,0.0,0,47.64553622,-121.9547781,9/25/21 0:00,21,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/ames-lake-forest
3736,Lost River,North Cascades,Pasayten,7.2,roundtrip,350.0,2680.0,2.83,6,48.65625,-120.5127333,6/23/21 0:00,25,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/lost-river
3737,Carbon Glacier,Mount Rainier Area,NW - Carbon River/Mowich,18.4,roundtrip,1800.0,3500.0,3.79,19,46.99494526,-121.9154275,10/16/21 0:00,136,0,1,0,1,1,0,1,1,0,0,0,1,0,1,1,National Park Pass,https://www.wta.org/go-hiking/hikes/carbon-glacier
3738,Beaver Pond Trail,Puget Sound and Islands,Bellingham Area,1.6,roundtrip,125.0,,0.0,0,48.41027138,-122.2781311,11/11/19 0:00,9,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/eaglemont-trail-mount-vernon-parks-rec
3739,Lower Big Quilcene River,Olympic Peninsula,Hood Canal,12.9,roundtrip,1890.0,2943.0,3.57,14,47.783467,-122.96505,10/27/21 0:00,269,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lower-big-quilcene-river
3740,Quick Creek Camp,Snoqualmie Region,Salmon La Sac/Teanaway,12.0,roundtrip,950.0,,2.75,4,47.38597366,-121.0940552,10/5/19 0:00,7,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/quick-creek-camp
3741,Big Meadow Lake,Eastern Washington,Okanogan Highlands/Kettle River Range,2.7,trails,25.0,,3.25,4,48.72655727,-117.5628841,6/29/20 0:00,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,,https://www.wta.org/go-hiking/hikes/big-meadow-lake
3742,McDowell Marsh Environmental Education Trail,Eastern Washington,Selkirk Range,1.2,roundtrip,25.0,,0.0,0,48.46169012,-117.7321658,6/29/19 0:00,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,https://www.wta.org/go-hiking/hikes/mcdowell-marsh-environmental-education-trail
3743,Saltese Uplands,Eastern Washington,Spokane Area/Coeur d'Alene,3.6,roundtrip,630.0,,4.0,3,47.6422166,-117.1263272,6/20/20 0:00,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/saltese-uplands
3744,Carlisle Lake,South Cascades,White Pass/Cowlitz River Valley,1.0,roundtrip,88.0,,0.0,0,46.57849313,-122.7262706,7/25/21 0:00,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,No pass,https://www.wta.org/go-hiking/hikes/carlisle-lake
3745,Sweet Creek Falls Interpretive Trail,Eastern Washington,Selkirk Range,1.0,roundtrip,150.0,,4.75,4,48.82416308,-117.3974788,7/5/19 0:00,11,0,0,0,1,0,1,1,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/sweet-creek-falls-interpretive-trail
3746,Blue Lake,South Cascades,Dark Divide,5.2,roundtrip,900.0,5200.0,3.0,1,46.2302935,-121.8653854,8/21/17 0:00,2,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/blue-lake-3
3747,Frenchman's Bar,Southwest Washington,Vancouver Area,2.5,one-way,75.0,210.0,3.0,1,45.6854718,-122.7614295,,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,,https://www.wta.org/go-hiking/hikes/frenchmans-bar
3748,West Fork Foss River and Lakes,Central Cascades,Stevens Pass - West,14.6,roundtrip,3300.0,4900.0,4.25,44,47.63488333,-121.3035667,10/14/21 0:00,573,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/west-fork-foss-river-and-lakes
3749,West Crater,South Cascades,Mount St. Helens,1.0,roundtrip,430.0,4131.0,1.8,5,45.87845,-122.0829333,7/24/21 0:00,6,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/west-crater
3750,West Butte,Eastern Washington,Palouse and Blue Mountains,11.8,roundtrip,3100.0,5504.0,3.5,4,46.09978088,-117.7867842,6/13/21 0:00,5,0,1,0,0,1,1,1,1,0,1,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/west-butte
3751,Wallace Falls State Park,Central Cascades,Stevens Pass - West,5.6,roundtrip,1300.0,1500.0,4.11,277,47.86691667,-121.67805,11/3/21 0:00,1502,0,1,1,1,1,0,0,1,0,0,0,0,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/wallace-falls
3752,Vancouver Lake - North Trail,Southwest Washington,Vancouver Area,2.5,roundtrip,,10.0,3.0,1,45.67896271,-122.7428922,8/8/21 0:00,17,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,,https://www.wta.org/go-hiking/hikes/vancouver-lake
3753,Upper Lena Lake,Olympic Peninsula,Hood Canal,14.0,roundtrip,3900.0,4600.0,4.23,31,47.6008706,-123.1455854,10/31/21 0:00,270,0,0,1,1,1,0,1,1,0,1,0,1,0,1,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/upper-lena-lake
3754,Twisp Pass,North Cascades,Methow/Sawtooth,9.0,roundtrip,2460.0,6064.0,3.83,12,48.45856667,-120.56755,10/7/21 0:00,99,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/twisp-pass
3755,John Tursi Trail,Puget Sound and Islands,Bellingham Area,2.2,roundtrip,600.0,,3.5,2,48.41701234,-122.6438878,9/9/21 0:00,34,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/john-tursi-trail
3756,Tunnel Creek - Dosewallips Trailhead,Olympic Peninsula,Hood Canal,6.4,roundtrip,4550.0,5050.0,4.0,5,47.73890533,-123.0735811,11/6/21 0:00,60,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/tunnel-creek-dosewallips-trailhead
3757,Tunnel Creek,Olympic Peninsula,Hood Canal,9.4,roundtrip,2450.0,4500.0,3.69,16,47.78153333,-123.0521167,10/30/21 0:00,211,0,0,1,0,1,1,0,1,0,0,1,1,0,0,0,No pass,https://www.wta.org/go-hiking/hikes/tunnel-creek-1
3758,Tubal Cain Mine to Buckhorn Lake,Olympic Peninsula,Hood Canal,12.0,roundtrip,2000.0,5200.0,3.93,15,47.88621667,-123.0916167,8/27/21 0:00,268,0,0,1,0,0,0,1,1,0,0,1,1,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/tubal-cain-mine-and-buckhorn-lake
3759,Middle Fork Snoqualmie River,Snoqualmie Region,North Bend Area,12.0,roundtrip,200.0,1100.0,3.78,32,47.54795,-121.5384,11/7/21 0:00,544,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/middle-fork-snoqualmie-upstream
3760,Trapper Creek,Southwest Washington,Lewis River Region,9.0,roundtrip,3000.0,4607.0,3.5,6,45.8816884,-121.9835786,7/24/20 0:00,33,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/trapper-creek
3761,Section Line Trail,Issaquah Alps,Tiger Mountain,5.8,roundtrip,2022.0,2522.0,3.0,7,47.52520382,-122.0261114,11/3/21 0:00,239,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/section-line-trail
3762,Tiger Mountain Trail,Issaquah Alps,Tiger Mountain,15.2,one-way,2360.0,2500.0,3.8,10,47.44255,-121.9776,11/6/21 0:00,347,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/tiger-mountain-trail
3763,High Point Trail,Issaquah Alps,Tiger Mountain,2.0,roundtrip,,1150.0,2.67,6,47.5305315,-121.9791842,9/8/21 0:00,146,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/high-point-trail
3764,Three Lakes,Olympic Peninsula,Pacific Coast,13.8,roundtrip,2850.0,3175.0,2.83,6,47.567617,-123.6553,9/3/21 0:00,37,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,National Park Pass,https://www.wta.org/go-hiking/hikes/three-lakes
3765,The Brothers,Olympic Peninsula,Hood Canal,18.0,roundtrip,6050.0,6866.0,3.86,7,47.5997,-123.1512,10/2/21 0:00,156,0,0,1,0,1,0,0,1,1,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/the-brothers
3766,Talapus and Olallie Lakes,Snoqualmie Region,Snoqualmie Pass,6.2,roundtrip,1220.0,3780.0,3.92,120,47.40125405,-121.5183592,11/7/21 0:00,1602,0,0,1,0,1,1,0,1,0,1,0,0,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/talapus-and-olallie-lakes
3767,Swift Creek,North Cascades,Mount Baker Area,16.0,roundtrip,2700.0,3930.0,2.75,4,48.76483493,-121.6698718,8/29/21 0:00,22,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/swift-creek
3768,Swan Creek Park,Puget Sound and Islands,Seattle-Tacoma Area,4.8,roundtrip,325.0,,3.73,11,47.22679625,-122.3890686,8/26/21 0:00,87,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/swan-creek-park
3769,Surprise and Glacier Lakes,Central Cascades,Stevens Pass - West,11.0,roundtrip,2700.0,4900.0,3.38,40,47.7078,-121.1567,11/6/21 0:00,474,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/surprise-lake-1
3770,Suiattle River Trail,North Cascades,Mountain Loop Highway,13.8,roundtrip,900.0,2500.0,3.8,5,48.24805762,-121.1920866,3/3/21 0:00,217,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/suiattle-river-trail
3771,Striped Peak,Olympic Peninsula,Northern Coast,6.8,roundtrip,850.0,1166.0,3.43,14,48.16218333,-123.6985667,10/27/21 0:00,81,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,No pass,https://www.wta.org/go-hiking/hikes/striped-peak
3772,Strawberry Mountain,South Cascades,Mount St. Helens,10.7,roundtrip,2280.0,5900.0,3.0,8,46.3134984,-122.0364472,7/17/21 0:00,21,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/strawberry-mountain
3773,Stimpson Nature Reserve,Puget Sound and Islands,Bellingham Area,4.9,roundtrip,300.0,800.0,4.29,7,48.73196449,-122.3768806,8/29/21 0:00,60,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,No pass,https://www.wta.org/go-hiking/hikes/stimpson-nature-reserve
3774,South Puyallup Trail,Mount Rainier Area,SW - Longmire/Paradise,3.4,roundtrip,700.0,4200.0,4.0,7,46.80654142,-121.8908958,8/18/21 0:00,42,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,National Park Pass,https://www.wta.org/go-hiking/hikes/south-puyallup-to-wonderland
3775,Upper South Fork Skokomish River,Olympic Peninsula,Olympia,16.4,roundtrip,2950.0,4103.0,3.5,10,47.479417,-123.452083,10/31/21 0:00,95,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,,https://www.wta.org/go-hiking/hikes/upper-south-fork-skokomish-river
3776,Lower South Fork Skokomish River,Olympic Peninsula,Olympia,8.5,roundtrip,800.0,900.0,3.38,21,47.41905,-123.3296667,10/24/21 0:00,284,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lower-south-fork-skokomish-river
3777,South Fork Cascade River,North Cascades,North Cascades Highway - Hwy 20,9.0,roundtrip,1800.0,2000.0,2.6,5,48.46531081,-121.1562095,9/16/21 0:00,47,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/south-fork-cascade-river
3778,Brooks Memorial State Park,Southwest Washington,Columbia River Gorge - WA,5.0,trails,,,0.0,0,45.59,-120.4,6/1/21 0:00,3,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,Discover Pass,https://www.wta.org/go-hiking/hikes/brooks-memorial-state-park
3779,Tiger Mountain Road,Issaquah Alps,Tiger Mountain,,,,,3.6,5,47.4663822,-121.9311404,5/31/21 0:00,45,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,Discover Pass,https://www.wta.org/go-hiking/hikes/tiger-mountain-road
3780,Tibbett's Marsh,Issaquah Alps,Cougar Mountain,0.9,one-way,200.0,1400.0,2.2,5,47.54111765,-122.0961982,7/25/21 0:00,66,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/tibbetts-marsh
3781,Steam Hoist,Issaquah Alps,Cougar Mountain,0.2,one-way,50.0,670.0,2.0,3,47.53467495,-122.1287227,6/21/20 0:00,7,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/steam-hoist
3782,Ring Road,Issaquah Alps,Cougar Mountain,0.4,one-way,100.0,1300.0,2.75,4,47.5101282,-122.0872021,1/26/21 0:00,2,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/ring-road
3783,Shy Bear,Issaquah Alps,Cougar Mountain,1.5,one-way,250.0,1200.0,3.4,5,47.53477636,-122.128787,8/25/21 0:00,131,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/shy-bear
3784,Mount Defiance (Oregon),Southwest Washington,Columbia River Gorge - OR,8.7,roundtrip,4800.0,4960.0,4.0,1,45.70289754,-121.6187274,7/10/18 0:00,8,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,Oregon State Parks Day-Use,https://www.wta.org/go-hiking/hikes/mount-defiance-oregon
3785,Radio Peak,Issaquah Alps,Cougar Mountain,0.4,one-way,180.0,1440.0,2.0,4,47.53415341,-122.1137238,1/13/21 0:00,12,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/radio-peak
3786,Long View Peak,Issaquah Alps,Cougar Mountain,0.3,one-way,100.0,1400.0,4.25,4,47.51013545,-122.0872128,2/5/21 0:00,37,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/long-view-peak
3787,Indian Trail,Issaquah Alps,Cougar Mountain,1.2,one-way,50.0,780.0,2.4,5,47.51552686,-122.1205151,3/22/21 0:00,98,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,No pass,https://www.wta.org/go-hiking/hikes/indian-trail
3788,Lazy Bear Falls,North Cascades,,4.0,roundtrip,,,0.0,0,48.64287859,-121.4231381,8/5/20 0:00,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,Northwest Forest Pass,https://www.wta.org/go-hiking/hikes/lazy-bear-falls
